,Brands,Models,Battery,OriginalPrice,DiscountedPrice,Discount,Rating,Reviews
115,boAt,boAt Nirvana Ion,120,"₹7,990","₹1,499",81%,4.2,"(1,15,541)"
116,GOBOULT,GOBOULT Astra with,48,"₹3,499","₹1,199",65%,4.1,"(2,10,839)"
117,TRIGGR,TRIGGR Ultrabuds N4,,"₹1,999",₹599,70%,4,"(12,267)"
118,HOPPUP,HOPPUP Predator Xo1,50,"₹4,999",₹699,86%,4.1,"(33,256)"
119,boAt,"boAt Airdopes 301,75H",75,"₹4,990","₹1,099",77%,3.9,"(11,442)"
120,TRIGGR,TRIGGR Kraken X1,,"₹3,999",₹799,80%,4,"(82,529)"
121,TRIGGR,TRIGGR Kraken X4,,"₹3,999",₹799,80%,4,"(42,234)"
122,boAt,"boAt Airdopes Alpha,35H",35,"₹3,490",₹899,74%,4,"(6,84,165)"
123,Infinix,Infinix XE 27,,"₹3,999","₹1,539",61%,3.8,(135)
124,boAt,boAt Airdopes 181,100,"₹4,990","₹1,199",75%,4,"(1,06,270)"
125,OPPO,OPPO Enco Buds,28,"₹3,999","₹1,599",60%,4.3,"(4,05,630)"
126,GOBOULT,GOBOULT Astra with,48,"₹3,499","₹1,199",65%,4.1,"(2,10,839)"
127,TRIGGR,TRIGGR Ultrabuds N5,40,"₹2,999",₹599,80%,4,"(4,464)"
128,boAt,boAt Nirvana Ion,,"₹13,990","₹1,999",85%,4.2,"(1,15,541)"
129,Noise,Noise Buds Verve,50,"₹3,999",₹999,75%,4,"(5,369)"
130,GOBOULT,GOBOULT Mustang Torq,60,"₹5,999","₹1,799",70%,4.2,"(55,513)"
131,PTron,PTron Bassbuds Vibe,34,"₹2,899",₹599,79%,4.1,"(12,069)"
132,Noise,Noise Buds MVP102,60,"₹2,999","₹1,099",63%,3.8,"(10,324)"
133,boAt,boAt Airdopes Supreme,50,"₹6,490","₹1,199",81%,4.1,"(1,74,192)"
134,boAt,"boAt Airdopes 111v2,",,"₹4,990","₹1,099",77%,4.1,"(17,573)"
135,GOBOULT,GOBOULT (previously Boult),,"₹3,999","₹1,299",67%,4,"(33,881)"
136,GOBOULT,GOBOULT Mustang Torq,60,"₹5,999","₹1,799",70%,4.2,"(55,513)"
137,GOBOULT,GOBOULT Z40 Pro,100,"₹5,499","₹1,299",76%,4.1,"(1,69,005)"
138,boAt,boAt Airdopes Supreme,50,"₹5,990","₹1,199",79%,4.1,"(1,74,192)"
139,Blaupunkt,Blaupunkt BTW300 Xtreme,,"₹5,999","₹1,498",75%,4.2,(191)
140,Noise,Noise Buds VS102,50,"₹3,499","₹1,299",62%,4,"(6,68,128)"
